angle,qangle,error
-90.000, -90.006, -6.12e-03
-89.972, -89.939, 03.34e-02
-89.916, -89.911, 05.41e-03
-89.893, -89.871, 02.19e-02
-89.860, -89.843, 01.70e-02
-89.814, -89.804, 01.05e-02
-89.804, -89.776, 02.85e-02
-89.748, -89.747, 05.16e-04
-89.734, -89.708, 02.60e-02
-89.692, -89.680, 01.20e-02
-89.655, -89.641, 01.45e-02
-89.636, -89.612, 02.36e-02
-89.581, -89.584, -3.37e-03
-89.576, -89.545, 03.10e-02
-89.525, -89.517, 08.14e-03
-89.496, -89.477, 01.85e-02
-89.469, -89.449, 01.96e-02
-89.417, -89.410, 07.00e-03
-89.413, -89.382, 03.11e-02
-89.358, -89.354, 04.25e-03
-89.337, -89.314, 02.26e-02
-89.302, -89.286, 01.57e-02
-89.258, -89.247, 01.10e-02
-89.247, -89.219, 02.82e-02
-89.191, -89.191, 03.73e-04
-89.178, -89.151, 02.67e-02
-89.135, -89.123, 01.18e-02
-89.098, -89.084, 01.41e-02
-89.080, -89.056, 02.43e-02
-89.024, -89.027, -3.49e-03
-89.018, -88.988, 02.97e-02
-88.969, -88.960, 08.96e-03
-88.939, -88.921, 01.82e-02
-88.914, -88.893, 02.14e-02
-88.859, -88.853, 05.56e-03
-88.858, -88.825, 03.28e-02
-88.803, -88.797, 06.08e-03
-88.779, -88.758, 02.12e-02
-88.747, -88.729, 01.75e-02
-88.699, -88.690, 08.62e-03
-88.692, -88.662, 02.99e-02
-88.637, -88.634, 03.22e-03
-88.619, -88.595, 02.43e-02
-88.581, -88.566, 01.46e-02
-88.538, -88.527, 01.07e-02
-88.526, -88.499, 02.70e-02
-88.471, -88.471, 03.62e-04
-88.458, -88.432, 02.64e-02
-88.416, -88.403, 01.28e-02
-88.378, -88.364, 01.38e-02
-88.361, -88.336, 02.51e-02
-88.305, -88.307, -2.49e-03
-88.298, -88.269, 02.95e-02
-88.250, -88.240, 09.89e-03
-88.217, -88.201, 01.58e-02
-88.195, -88.173, 02.22e-02
-88.140, -88.144, -4.33e-03
-88.137, -88.105, 03.16e-02
-88.085, -88.077, 08.03e-03
-88.057, -88.038, 01.89e-02
-88.030, -88.010, 02.04e-02
-87.976, -87.971, 05.23e-03
-87.975, -87.942, 03.27e-02
-87.920, -87.914, 06.17e-03
-87.895, -87.875, 02.00e-02
-87.865, -87.847, 01.85e-02
-87.815, -87.808, 07.30e-03
-87.810, -87.779, 03.08e-02
-87.755, -87.751, 04.33e-03
-87.734, -87.712, 02.21e-02
-87.700, -87.683, 01.66e-02
-87.653, -87.645, 08.38e-03
-87.646, -87.616, 02.99e-02
-87.591, -87.588, 03.48e-03
-87.572, -87.549, 02.32e-02
-87.536, -87.520, 01.58e-02
-87.492, -87.482, 01.05e-02
-87.481, -87.453, 02.80e-02
-87.426, -87.424, 01.64e-03
-87.411, -87.386, 02.53e-02
-87.372, -87.357, 01.49e-02
-87.330, -87.318, 01.15e-02
-87.317, -87.290, 02.72e-02
-87.262, -87.261, 08.08e-04
-87.248, -87.223, 02.54e-02
-87.208, -87.194, 01.41e-02
-87.167, -87.155, 01.16e-02
-87.153, -87.127, 02.63e-02
-87.098, -87.098, -2.52e-05
-87.086, -87.059, 02.65e-02
-87.044, -87.031, 01.32e-02
-87.005, -86.992, 01.27e-02
-86.989, -86.964, 02.54e-02
-86.935, -86.935, 01.43e-04
-86.924, -86.896, 02.76e-02
-86.880, -86.868, 01.24e-02
-86.842, -86.829, 01.28e-02
-86.826, -86.800, 02.56e-02
-86.771, -86.772, -6.87e-04
-86.761, -86.733, 02.77e-02
-86.717, -86.704, 01.25e-02
-86.679, -86.666, 01.29e-02
-86.662, -86.637, 02.47e-02
-86.608, -86.609, -5.17e-04
-86.598, -86.570, 02.79e-02
-86.554, -86.541, 01.27e-02
-86.516, -86.503, 01.30e-02
-86.499, -86.474, 02.48e-02
-86.445, -86.445, -3.47e-04
-86.434, -86.407, 02.70e-02
-86.391, -86.378, 01.28e-02
-86.353, -86.340, 01.31e-02
-86.337, -86.311, 02.60e-02
-86.282, -86.282, -1.77e-04
-86.271, -86.244, 02.71e-02
-86.228, -86.215, 01.30e-02
-86.189, -86.177, 01.22e-02
-86.174, -86.148, 02.61e-02
-86.120, -86.119, 09.91e-04
-86.107, -86.081, 02.62e-02
-86.066, -86.052, 01.41e-02
-86.025, -86.014, 01.13e-02
-86.011, -85.985, 02.62e-02
-85.957, -85.956, 01.16e-03
-85.943, -85.918, 02.53e-02
-85.903, -85.889, 01.43e-02
-85.861, -85.851, 01.04e-02
-85.849, -85.822, 02.73e-02
-85.795, -85.793, 02.32e-03
-85.779, -85.755, 02.44e-02
-85.741, -85.726, 01.54e-02
-85.697, -85.688, 09.45e-03
-85.687, -85.659, 02.85e-02
-85.633, -85.630, 03.48e-03
-85.614, -85.591, 02.25e-02
-85.579, -85.562, 01.65e-02
-85.532, -85.524, 07.53e-03
-85.526, -85.495, 03.06e-02
-85.472, -85.466, 05.64e-03
-85.449, -85.428, 02.06e-02
-85.418, -85.399, 01.87e-02
-85.367, -85.361, 05.60e-03
-85.364, -85.332, 03.17e-02
-85.310, -85.303, 06.79e-03
-85.284, -85.265, 01.87e-02
-85.256, -85.236, 01.98e-02
-85.203, -85.207, -4.08e-03
-85.202, -85.169, 03.28e-02
-85.149, -85.140, 08.93e-03
-85.119, -85.102, 01.68e-02
-85.095, -85.073, 02.19e-02
-85.041, -85.044, -2.91e-03
-85.036, -85.006, 02.99e-02
-84.988, -84.977, 01.11e-02
-84.953, -84.939, 01.39e-02
-84.934, -84.910, 02.40e-02
-84.881, -84.881, 02.41e-04
-84.871, -84.843, 02.80e-02
-84.827, -84.814, 01.32e-02
-84.788, -84.776, 01.19e-02
-84.773, -84.747, 02.62e-02
-84.720, -84.718, 02.39e-03
-84.705, -84.680, 02.51e-02
-84.666, -84.651, 01.53e-02
-84.621, -84.613, 08.00e-03
-84.613, -84.584, 02.93e-02
-84.559, -84.554, 04.53e-03
-84.538, -84.517, 02.12e-02
-84.506, -84.488, 01.84e-02
-84.455, -84.450, 05.05e-03
-84.452, -84.421, 03.14e-02
-84.399, -84.391, 07.66e-03
-84.372, -84.354, 01.82e-02
-84.346, -84.324, 02.16e-02
